name,v_nom,x,y,control,generator
0,380.0,6.804928264513113,51.2579503448868,PV,108 Run of River
1,380.0,11.938644066815623,51.3373338742,PV,279_220kV Brown Coal
10,380.0,10.808127615154737,50.07966913837895,PV,294 Gas
11,380.0,6.8004509227800005,49.752320900940006,PV,128_220kV Run of River
12,380.0,12.562037549426666,53.87439716302,PV,102 Gas
13,380.0,8.03032972194037,53.17570899277408,PV,160_220kV Hard Coal
2,380.0,10.355357955577691,48.0881764109359,PV,19 Gas
3,380.0,9.523241809604697,52.054906588044894,Slack,1 Gas
4,380.0,8.783255652280571,49.428531943225714,PV,213 Gas
5,380.0,13.768000947977775,52.18673619763334,PV,12_220kV Gas
6,380.0,9.661894192962162,53.93147350188919,PV,183 Gas
7,380.0,8.1438303762568,47.84939152658799,PV,190 Gas
8,380.0,12.205503160107144,48.60011121688572,PV,14 Run of River
9,380.0,7.664001359755833,51.71387254690972,PV,111 Gas
